temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
16.67,clear-night,0.53,10.0,Clear,3.95,1022.69,11.23,0.0,1388552400,271.0,0.0,2.41,0.0
16.19,clear-night,0.52,10.0,Clear,4.18,1022.58,9.92,0.02,1388556000,268.0,0.0,1.68,0.0
15.69,clear-night,0.55,10.0,Clear,4.41,1023.61,8.72,0.0,1388559600,266.0,0.0,2.59,0.0
15.29,clear-night,0.58,10.0,Clear,4.29,1024.31,8.25,0.0,1388563200,269.0,0.0,3.29,0.0
15.37,clear-night,0.6,10.0,Clear,5.12,1024.51,7.38,0.06,1388566800,266.0,0.0,3.95,0.0
14.81,clear-night,0.65,9.88,Clear,4.37,1024.83,7.47,0.0,1388570400,261.0,0.0,5.11,0.0
14.4,clear-night,0.66,9.9,Clear,3.9,1025.59,7.43,0.0,1388574000,253.0,0.0,5.28,0.0
13.79,clear-night,0.67,9.95,Clear,4.45,1026.09,6.1,0.17,1388577600,247.0,0.0,4.98,0.0
14.5,clear-day,0.69,9.67,Clear,6.35,1026.79,5.14,0.0,1388581200,253.0,0.0,6.18,0.0
17.05,clear-day,0.7,8.97,Clear,11.24,1027.79,3.7,0.0,1388584800,295.0,0.0,8.93,0.0
18.29,clear-day,0.65,9.29,Clear,7.31,1028.24,9.14,0.21,1388588400,252.0,0.0,8.4,0.0
19.68,clear-day,0.57,10.0,Clear,10.2,1028.07,7.54,0.0,1388592000,276.0,0.0,6.92,0.0
20.82,clear-day,0.54,10.0,Clear,10.85,1027.53,8.53,0.0,1388595600,270.0,0.0,6.69,0.0
21.61,partly-cloudy-day,0.52,10.0,Partly Cloudy,12.0,1027.25,8.26,0.53,1388599200,278.0,0.0,6.52,0.0
21.63,clear-day,0.51,9.56,Clear,11.84,1027.15,8.53,,1388602800,277.0,0.0,6.48,0.0
21.74,clear-day,0.52,10.0,Clear,13.65,1027.4,6.39,,1388606400,289.0,0.0,6.97,0.0
21.52,partly-cloudy-day,0.53,10.0,Mostly Cloudy,14.46,1027.78,5.28,0.75,1388610000,294.0,0.0,6.89,0.0
19.73,clear-night,0.57,10.0,Clear,12.71,1027.82,4.95,0.0,1388613600,285.0,0.0,7.11,0.0
17.26,clear-night,0.66,10.0,Clear,12.5,1027.98,3.08,0.0,1388617200,305.0,0.0,7.87,0.0
16.5,clear-night,0.69,10.0,Clear,16.5,1028.09,2.85,0.1,1388620800,337.0,0.0,8.07,0.0
17.39,clear-night,0.68,10.0,Clear,12.22,1028.43,3.33,0.0,1388624400,328.0,0.0,8.59,0.0
16.34,clear-night,0.74,9.74,Clear,16.34,1028.24,2.49,0.0,1388628000,323.0,0.0,9.6,0.0
17.25,partly-cloudy-night,0.72,4.62,Mostly Cloudy,10.39,1028.35,4.48,0.62,1388631600,43.0,0.0,9.67,0.0
